Level,Date and Time,Source,Event ID,Task Category
Error,21/3/2025 8:19:36 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:33 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:31 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:28 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:26 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:23 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:21 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:18 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:16 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:13 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:11 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:08 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:06 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:03 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:01 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:58 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:56 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:53 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:51 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:48 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:46 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:43 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:41 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:38 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:36 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:33 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:31 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:28 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:27 AM,Microsoft-Windows-DistributedCOM,10010,None,The server {4991D34B-80A1-4291-83B6-3328366B9097} did not register with DCOM within the required timeout.
Error,21/3/2025 8:18:26 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:23 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:21 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:18 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:16 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:13 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:11 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:08 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:06 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:03 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:01 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:17:58 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:17:56 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:17:53 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:17:50 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:17:48 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:16:31 AM,Service Control Manager,7024,None,"The Background Intelligent Transfer Service service terminated with the following service-specific error: 
The security account manager (SAM) or local security authority (LSA) server was in the wrong state to perform the security operation."
Error,21/3/2025 8:16:31 AM,Microsoft-Windows-Bits-Client,16392,None,The BITS service failed to start.  Error 0x80070548.
Information,21/3/2025 8:16:31 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,21/3/2025 8:16:27 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Error,21/3/2025 8:16:27 AM,Microsoft-Windows-DistributedCOM,10010,None,The server {4991D34B-80A1-4291-83B6-3328366B9097} did not register with DCOM within the required timeout.
Error,21/3/2025 8:14:46 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
