Level,Date and Time,Source,Event ID,Task Category,
Information,19/3/2025 23:09,Microsoft-Windows-Kernel-General,12,-1,The operating system started at system time ‎2025‎-‎03‎-‎19T15:08:58.500000000Z.
,,,,,
Computer Crashes,,,,,
Warning,18/3/2025 14:32,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 7124262912 bytes, avp.exe (4480) consumed 229875712 bytes, and svchost.exe (1432) consumed 191143936 bytes."
Warning,18/3/2025 14:27,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 7096131584 bytes, avp.exe (4480) consumed 228474880 bytes, and svchost.exe (1432) consumed 191033344 bytes."
Warning,18/3/2025 14:22,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 7062216704 bytes, avp.exe (4480) consumed 228184064 bytes, and svchost.exe (1432) consumed 196141056 bytes."
Warning,18/3/2025 14:17,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 7029350400 bytes, avp.exe (4480) consumed 228077568 bytes, and svchost.exe (1432) consumed 195817472 bytes."
Error,18/3/2025 14:14,Service Control Manager,7023,None,"The Windows Error Reporting Service service terminated with the following error: 
The paging file is too small for this operation to complete."
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 14:13,Service Control Manager,7031,None,The Tailscale service terminated unexpectedly. It has done this 1 time(s). The following corrective action will be taken in 1000 milliseconds: Restart the service.
Warning,18/3/2025 14:12,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6997340160 bytes, avp.exe (4480) consumed 226574336 bytes, and svchost.exe (1432) consumed 195706880 bytes."
Warning,18/3/2025 14:07,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6971449344 bytes, avp.exe (4480) consumed 227430400 bytes, and svchost.exe (1432) consumed 196579328 bytes."
Warning,18/3/2025 14:02,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6940024832 bytes, avp.exe (4480) consumed 226332672 bytes, and svchost.exe (1432) consumed 190894080 bytes."
Warning,18/3/2025 13:57,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6914277376 bytes, avp.exe (4480) consumed 226140160 bytes, and svchost.exe (1432) consumed 190795776 bytes."
Warning,18/3/2025 13:52,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6880985088 bytes, avp.exe (4480) consumed 226029568 bytes, and svchost.exe (1432) consumed 198246400 bytes."
Warning,18/3/2025 13:47,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6850961408 bytes, avp.exe (4480) consumed 235741184 bytes, and svchost.exe (1432) consumed 201912320 bytes."
Warning,18/3/2025 13:42,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6819164160 bytes, avp.exe (4480) consumed 222593024 bytes, and svchost.exe (1432) consumed 190644224 bytes."
Warning,18/3/2025 13:37,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6788530176 bytes, avp.exe (4480) consumed 223838208 bytes, and svchost.exe (1432) consumed 191033344 bytes."
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{29FB5225-B4CB-46B5-A6DD-EC56A25D824C} because another computer on the network has the same name.  The server could not start.
Error,18/3/2025 13:35,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{CA114852-F4A1-4913-90AC-1253BB91F6C7} because another computer on the network has the same name.  The server could not start.
Warning,18/3/2025 13:32,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6761533440 bytes, avp.exe (4508) consumed 290643968 bytes, and svchost.exe (1432) consumed 190287872 bytes."
Information,18/3/2025 13:32,Application Popup,26,None,"Application pop-up: Windows - Out of Virtual Memory : Your system is low on virtual memory. To ensure that Windows runs properly, increase the size of your virtual memory paging file. For more information, see Help. "
Warning,18/3/2025 13:27,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6734200832 bytes, avp.exe (4508) consumed 290639872 bytes, and svchost.exe (1432) consumed 190169088 bytes."
Warning,18/3/2025 13:22,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6702399488 bytes, avp.exe (4508) consumed 290713600 bytes, and svchost.exe (1432) consumed 190496768 bytes."
Warning,18/3/2025 13:17,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6676164608 bytes, avp.exe (4508) consumed 290615296 bytes, and svchost.exe (1432) consumed 190124032 bytes."
Warning,18/3/2025 13:12,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6648778752 bytes, avp.exe (4508) consumed 290865152 bytes, and svchost.exe (1432) consumed 195780608 bytes."
Warning,18/3/2025 13:07,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6617141248 bytes, avp.exe (4508) consumed 297693184 bytes, and svchost.exe (1432) consumed 196317184 bytes."
Warning,18/3/2025 13:02,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6587236352 bytes, avp.exe (4508) consumed 297398272 bytes, and svchost.exe (1432) consumed 190136320 bytes."
Warning,18/3/2025 12:57,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6563647488 bytes, avp.exe (4508) consumed 297476096 bytes, and svchost.exe (1432) consumed 189931520 bytes."
Warning,18/3/2025 12:52,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6535290880 bytes, avp.exe (4508) consumed 297476096 bytes, and svchost.exe (1432) consumed 190513152 bytes."
Warning,18/3/2025 12:47,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6500438016 bytes, avp.exe (4508) consumed 297734144 bytes, and svchost.exe (1432) consumed 192200704 bytes."
Warning,18/3/2025 12:42,Microsoft-Windows-Resource-Exhaustion-Detector,2004,Resource Exhaustion Diagnosis Events,"Windows successfully diagnosed a low virtual memory condition. The following programs consumed the most virtual memory: qbittorrent.exe (1276) consumed 6468050944 bytes, avp.exe (4508) consumed 279244800 bytes, and explorer.exe (8616) consumed 195858432 bytes."
Start of Warnings,,,,,
